name,angle_sort,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8
angled leg presses,"['delta_5', 'delta_1', 'delta_7', 'delta_8', 'delta_2', 'delta_4', 'delta_6', 'delta_3']",137.27056224201607,147.789143358549,158.05469059232465,149.26002777805957,111.38208062298526,154.7318575863387,140.9343797592977,141.93963848135854
arnold press,"['delta_8', 'delta_4', 'delta_1', 'delta_3', 'delta_7', 'delta_2', 'delta_5', 'delta_6']",36.54384628641279,77.51499785384136,60.501001431875935,25.413059351132862,84.11912727748197,105.47021718738563,77.50900521849063,20.241374267738937
back extensions,"['delta_7', 'delta_4', 'delta_8', 'delta_3', 'delta_2', 'delta_1', 'delta_6', 'delta_5']",117.83459250078558,112.38246164066217,81.68281158771333,50.14965143342329,162.21284749435625,145.79490706371385,49.797065731230646,54.06198901514814
back presses,"['delta_7', 'delta_3', 'delta_8', 'delta_4', 'delta_5', 'delta_6', 'delta_2', 'delta_1']",121.16589630016814,118.17357381015981,32.22814443516985,40.5373881555098,106.78454895138204,108.83570836071958,29.408385256969453,33.03897343136716
bar triceps extensions,"['delta_4', 'delta_3', 'delta_7', 'delta_8', 'delta_2', 'delta_6', 'delta_1', 'delta_5']",88.98935044442568,42.003648437449925,21.273556362028614,18.942259111860295,113.04132213005333,63.900423471470944,26.108096621490347,29.086260493265456
barbell bench press,"['delta_8', 'delta_5', 'delta_4', 'delta_1', 'delta_6', 'delta_2', 'delta_3', 'delta_7']",153.51177884294157,165.40057486676332,173.3059027459223,152.51268213498273,137.16067275939247,159.8947560721486,174.8865292474892,131.29702101437732
barbell curls,"['delta_7', 'delta_3', 'delta_6', 'delta_4', 'delta_8', 'delta_2', 'delta_5', 'delta_1']",146.55508548493933,78.38126542490524,26.423525931633407,46.49614733534196,80.77424647522442,37.77562046097649,25.97190500141525,49.056618145621584
barbell front raise,"['delta_5', 'delta_4', 'delta_6', 'delta_8', 'delta_3', 'delta_2', 'delta_7', 'delta_1']",103.08570357263234,84.50397317503636,73.59811720052963,49.87134681425245,35.491028586174224,61.17141458030646,85.66397519169536,68.17615312528564
barbell lunge,"['delta_3', 'delta_6', 'delta_5', 'delta_7', 'delta_8', 'delta_2', 'delta_4', 'delta_1']",153.9950323740878,123.06190805645724,69.35645621235409,139.44208828458144,96.71748947636326,74.51327462178746,98.12376181748874,115.29136485285605
bench jump,"['delta_2', 'delta_5', 'delta_1', 'delta_6', 'delta_3', 'delta_4', 'delta_8', 'delta_7']",119.64222380424471,87.33081206958238,138.35013122999226,139.14209774823047,105.20054941623386,135.4335051911424,151.11440911548394,147.0671494365914
bench presses,"['delta_8', 'delta_4', 'delta_7', 'delta_3', 'delta_6', 'delta_2', 'delta_5', 'delta_1']",160.8689607895294,114.88124583546714,76.08439560630724,47.2741251319037,138.614037412515,94.3539978164317,71.50976120816767,32.89360143604475
bent over row,"['delta_6', 'delta_3', 'delta_8', 'delta_7', 'delta_4', 'delta_5', 'delta_1', 'delta_2']",83.60999670645691,84.84148116565166,48.525978895885494,62.90739165185565,69.69618334606136,44.622400535344184,61.23815694387541,60.49352827829135
brbell shrugs,"['delta_3', 'delta_7', 'delta_8', 'delta_4', 'delta_2', 'delta_6', 'delta_5', 'delta_1']",31.991105610472516,20.065564219037277,8.210216581276597,18.291493121535893,30.523942831442156,21.846921490086036,11.957383787967842,17.77254941911727
cable crossover flys,"['delta_8', 'delta_7', 'delta_2', 'delta_1', 'delta_3', 'delta_5', 'delta_6', 'delta_4']",75.32689746557118,70.57330496197184,93.37633496895177,117.91374234848575,95.02380330100543,116.35006072755667,66.36080718021675,62.330793750851434
chin-ups,"['delta_3', 'delta_1', 'delta_2', 'delta_8', 'delta_6', 'delta_7', 'delta_5', 'delta_4']",57.863848339184386,76.87881154363917,40.15878220479766,104.6718152702951,96.97132669047107,88.29904534966943,95.11124772585809,82.27659635086552
close-grip bench presses,"['delta_8', 'delta_7', 'delta_3', 'delta_2', 'delta_4', 'delta_1', 'delta_6', 'delta_5']",92.53993389540454,85.05995409771603,66.05039453149537,88.32386386889846,111.16580512162895,93.19150799599856,54.62322498287192,37.91859392007069
concentration curls,"['delta_3', 'delta_7', 'delta_8', 'delta_4', 'delta_6', 'delta_5', 'delta_2', 'delta_1']",111.71231751903612,72.01223158745631,19.02650703645719,40.8365179979044,59.53223900321315,48.12927515989304,25.38027972606522,37.12620197431464
crunches,"['delta_8', 'delta_4', 'delta_1', 'delta_7', 'delta_3', 'delta_5', 'delta_2', 'delta_6']",46.10349211246009,75.03465569365515,59.55428017527779,22.305459866371898,60.584013807901044,78.99467219760572,46.849873733118905,13.324860712549011
deadlifts,"['delta_1', 'delta_5', 'delta_6', 'delta_2', 'delta_4', 'delta_8', 'delta_3', 'delta_7']",45.65831766663692,98.70394405115977,151.56514128278164,121.99775045348488,53.25985200920057,77.20290245814019,157.73350956603144,128.52101659958626
