name,principal_component
angled leg presses,"[[  -44.13909883  -176.61919568]
 [ 3366.00132825  -103.00576155]
 [ -464.40841171  -125.84100178]
 [ 3822.90106324    35.1604942 ]
 [-2526.08186961  -441.46218167]
 [ 3893.17307533  -122.38234352]
 [-4258.74386612  -281.68907595]
 [ 5936.26384546   104.8515137 ]
 [-2786.22199715  -418.67930675]
 [ 3736.42334227  -192.24559217]
 [-3308.87048729  -412.59135569]
 [ 4138.09679101  -149.34976217]
 [-4273.62075831   -15.44028674]
 [  -39.24308922   487.65364001]
 [-5211.89003324   264.06383473]
 [  238.66536935   503.7571797 ]
 [-2478.2761228    397.73838568]
 [ 1712.54289059    67.33435008]
 [-3390.95775389   478.92858488]
 [ 1938.38578267    99.81788068]]"
arnold press,"[[-2.46038714e+03 -1.82964933e+02]
 [-7.84244309e+02  2.69683480e+01]
 [-5.30994965e+02 -9.33556516e+01]
 [-7.36077974e+02  5.49281037e+01]
 [-3.19546210e+03 -2.72036588e+02]
 [-2.40050129e+03  1.08325582e+03]
 [-2.17505085e+01 -2.81706949e+02]
 [-2.39225245e+03  1.10114774e+03]
 [-2.27617772e+03 -1.80811135e+02]
 [ 2.38061041e+03 -2.80951443e+00]
 [-1.07277018e+03 -1.72001998e+02]
 [ 2.43848386e+03  1.40680133e+01]
 [-2.96428222e+03 -2.68109696e+02]
 [ 5.91968086e+03  5.38778269e+01]
 [-1.04684725e+03 -2.72836286e+02]
 [ 6.16974042e+03  9.02406177e+01]
 [-3.25093652e+03 -3.40584770e+02]
 [ 3.52581785e+03 -2.23571254e+01]
 [-1.03679792e+03 -3.27707828e+02]
 [ 3.73514915e+03 -7.20399909e+00]]"
back extensions,"[[ 5036.83455482    45.89560288]
 [-1201.53305135   842.07120317]
 [ 4643.40302709    51.98752008]
 [-1175.75302435  1053.04353437]
 [ 4390.40431724  -302.84988717]
 [-2164.39126809   706.9152569 ]
 [ 4617.31457315   191.05814554]
 [-1945.65889165  1362.88777899]
 [ 2504.88629443  -146.22328588]
 [-1619.596508    -271.39523305]
 [ 2182.27801537  -140.83409559]
 [-1424.03870131  -232.59517574]
 [ -111.34966535  -581.67304609]
 [-3866.17782072  -629.25472285]
 [-1077.15432442  -270.93851877]
 [-4327.59593854  -407.89585521]
 [ 1174.21414163  -326.25422612]
 [-3081.45664573  -405.85039501]
 [  531.26680725  -213.77928858]
 [-3085.89589148  -324.31531187]]"
back presses,"[[-1869.48371647  -280.40311558]
 [ 4565.63027356    32.58978549]
 [-3510.03887903  -394.23576834]
 [ 4591.38515789    30.55489891]
 [ -600.19029609  -346.82851623]
 [ 5888.76761815  -116.42869034]
 [-4977.0118872   -670.98577167]
 [ 5874.92063942   263.08177354]
 [-2244.4102116     62.12588572]
 [ 2044.2810138    -71.33229196]
 [-3308.23738664   -10.46278759]
 [ 2062.64874529  -165.01154397]
 [-1266.65255662   708.58345924]
 [ -421.70419429   -75.97644178]
 [-4410.14991988   442.56746814]
 [ -486.40301507  -504.67498591]
 [ -985.9011791    809.07863274]
 [ 1931.37125568   -13.80263265]
 [-4796.2186105    476.01425256]
 [ 1917.3971487   -174.45361031]]"
bar triceps extensions,"[[-1.71373341e+03  2.55074179e+02]
 [ 4.35572416e+03  1.09625080e+01]
 [-2.02699750e+03 -2.25062071e+02]
 [ 4.47140311e+03  6.98124957e+01]
 [-1.85232094e+03  3.00550037e+02]
 [ 5.85075434e+03 -5.41800327e+01]
 [-2.07712950e+03 -2.08652811e+02]
 [ 6.25673681e+03 -4.17022172e+01]
 [-1.80397918e+03  2.11121978e+02]
 [ 1.69807938e+03 -2.97224056e+00]
 [-2.10033180e+03 -1.23582636e+02]
 [ 1.69532595e+03  3.28669754e+01]
 [-2.07931039e+03  1.07355848e+02]
 [-1.87969559e+03 -4.27547848e+01]
 [-2.31364412e+03 -1.63074202e+02]
 [-2.10721676e+03 -3.58288633e+01]
 [-1.83251712e+03  1.44034028e+02]
 [-1.50338554e+02 -3.56149698e+01]
 [-2.11643018e+03 -1.55860676e+02]
 [-2.74378726e+02 -4.24925446e+01]]"
barbell bench press,"[[ 7.77820363e+02  1.80202782e+02]
 [-2.32225530e+03  9.10765931e+01]
 [ 5.42515528e+02  3.20721028e+02]
 [-1.90557340e+03 -1.08239287e+02]
 [ 1.16351580e+03  3.16179507e+02]
 [-2.14407383e+03 -1.26950909e+01]
 [ 4.67595498e+02  6.23692728e+02]
 [-1.22277372e+03 -5.80571284e+02]
 [ 2.20525290e+03  1.13975026e+01]
 [-2.08786503e+03 -3.32363731e-03]
 [ 2.16816824e+03  3.94640562e+01]
 [-1.80153575e+03 -1.33921534e+02]
 [ 3.49892626e+03 -2.00071808e+02]
 [-2.51402952e+03  1.08014447e+02]
 [ 3.55025165e+03 -2.09688780e+02]
 [-2.19593831e+03 -3.94353779e+01]
 [ 2.88479683e+03 -1.27864763e+02]
 [-2.22284536e+03  1.56773344e+01]
 [ 2.90860192e+03 -1.15670606e+02]
 [-1.75055478e+03 -1.78264124e+02]]"
barbell calf raise with single leg,"[[-3417.02279569    33.11242899]
 [ -751.01055245    56.90161643]
 [-2011.35836935  -184.14011525]
 [ -747.38515852    45.03055504]
 [-2150.92419211   324.02715167]
 [ 1753.04499209    44.44247426]
 [ -718.25681131   -64.32848097]
 [ 1579.79170037    40.86143428]
 [-3212.76011282   -55.22803263]
 [ 2019.64621052   127.83751642]
 [-2356.74195673  -144.03173061]
 [ 1889.79527273   101.92625003]
 [-1333.68104405   176.53318773]
 [ 4907.57745933   -40.49939599]
 [-2401.24864147  -171.71885977]
 [ 3918.11473622   -34.28019103]
 [-1256.97555495    97.77052789]
 [ 2417.56786355   -11.85931009]
 [ -859.66680853  -167.81394553]
 [ 2731.49376318  -174.54308089]]"
barbell calf raise,"[[-4.09419813e+03 -1.05468395e+02]
 [-1.29467803e+03  2.92202410e+01]
 [-2.35037803e+03 -4.21545822e+02]
 [-1.22717404e+03  3.12624376e+00]
 [-2.69409272e+03  4.44005133e+02]
 [ 1.82139481e+03  1.29895254e+02]
 [-5.35017371e+02 -1.97848975e+02]
 [ 1.61725485e+03  3.28965549e+01]
 [-3.67540307e+03 -1.61265312e+02]
 [ 2.15976233e+03  1.43732121e+02]
 [-2.55482343e+03 -2.57396984e+02]
 [ 1.98023828e+03  1.04586251e+02]
 [-2.30688480e+03  3.50329129e+02]
 [ 5.75275079e+03  1.46214223e+01]
 [-8.90493450e+02 -1.12656136e+02]
 [ 5.23535201e+03 -7.15896506e+01]
 [-1.88693447e+03  3.93875419e+02]
 [ 2.70298584e+03 -8.54804130e+01]
 [-1.79363147e+02 -7.25033475e+01]
 [ 2.41970177e+03 -1.60532735e+02]]"
barbell curls,"[[-1344.18072588   -54.1126769 ]
 [ 4323.72517497  -325.72345723]
 [-2284.8245009    -12.3170476 ]
 [ 4514.5948068   -387.7797372 ]
 [ -572.54055359   -16.5166047 ]
 [ 3321.15426259   556.15254878]
 [-1645.4116952     42.63380977]
 [ 3528.10119453   679.84887995]
 [-1440.90137354    -8.1324413 ]
 [ 1960.31307204  -194.0670175 ]
 [-2034.73857208    45.46370989]
 [ 1973.36868153  -215.12184598]
 [-1680.01270592     9.24543432]
 [-1546.72450827    13.60494818]
 [-2132.97228781    37.71483699]
 [-1727.12216482    17.77020771]
 [-1457.97537635    -9.34425868]
 [  174.24006366  -109.20498553]
 [-2009.19447745    39.36524872]
 [   81.1016857   -109.47955168]]"
barbell front raise,"[[-2821.26870317   118.59626963]
 [-1474.04891503   -55.47403684]
 [-1691.48918429   128.91198408]
 [-1240.22362357    41.26658672]
 [-2134.59838372  -554.64760479]
 [  -66.47473474  1583.85622722]
 [ -313.78016702  -713.61545773]
 [  261.72491376  1251.18442387]
 [-2579.42031334  -173.67727933]
 [ 1639.96854016   -92.2548384 ]
 [-1787.66266279  -164.69646274]
 [ 1658.27411317   -51.9006956 ]
 [-2767.42947201  -155.56091702]
 [ 6049.77993111  -163.76628339]
 [-1830.07837693  -164.15981997]
 [ 5678.5456874   -173.72492083]
 [-2485.85995651  -187.54476454]
 [ 3858.43641889  -148.44307084]
 [-1677.15587363  -175.42984543]
 [ 3722.76076226  -148.91949407]]"
