name,tsne
angled leg presses,"[[ -10.878068    10.538728 ]
 [ -60.884026   -75.59182  ]
 [  -2.3361192  -53.289074 ]
 [ -61.38532    -12.914634 ]
 [ -28.737743   126.297    ]
 [   1.0666057 -123.55281  ]
 [  45.14072     -7.9478693]
 [-140.79597    -98.53055  ]
 [  61.53168    -83.24056  ]
 [ -72.56306   -140.39688  ]
 [  15.984491    63.578186 ]
 [-160.85162     68.945145 ]
 [  85.96183     51.922935 ]
 [ -99.020836   109.93635  ]
 [-176.76413     -8.681684 ]
 [-117.18988    -37.4202   ]
 [ 108.82992    -22.946203 ]
 [  47.588097   121.934814 ]
 [-106.467834    30.17689  ]
 [ -50.613804    59.328842 ]]"
arnold press,"[[ -10.878068    10.538728 ]
 [ -60.884026   -75.59182  ]
 [  -2.3361192  -53.289074 ]
 [ -61.38532    -12.914634 ]
 [ -28.737743   126.297    ]
 [   1.0666057 -123.55281  ]
 [  45.14072     -7.9478693]
 [-140.79597    -98.53055  ]
 [  61.53168    -83.24056  ]
 [ -72.56306   -140.39688  ]
 [  15.984491    63.578186 ]
 [-160.85162     68.945145 ]
 [  85.96183     51.922935 ]
 [ -99.020836   109.93635  ]
 [-176.76413     -8.681684 ]
 [-117.18988    -37.4202   ]
 [ 108.82992    -22.946203 ]
 [  47.588097   121.934814 ]
 [-106.467834    30.17689  ]
 [ -50.613804    59.328842 ]]"
back extensions,"[[ 341.9894     60.95239 ]
 [ -44.397488  433.67963 ]
 [-487.7684     89.47396 ]
 [ -67.39376    68.86647 ]
 [-334.64243  -235.85004 ]
 [ 130.63596  -268.9267  ]
 [  38.188274  234.14633 ]
 [ 158.31648   413.1019  ]
 [-352.34915   -49.55043 ]
 [-245.33704    96.44381 ]
 [ 227.83215   -97.743576]
 [-101.48909  -306.14224 ]
 [ 117.631424   65.597336]
 [  18.187294 -100.174644]
 [-111.50564  -407.24637 ]
 [-364.48822   257.62704 ]
 [-249.5891    425.85202 ]
 [-160.448     -99.448875]
 [ 243.29921   231.88481 ]
 [-144.22153   248.36885 ]]"
back presses,"[[ -10.878068    10.538728 ]
 [ -60.884026   -75.59182  ]
 [  -2.3361192  -53.289074 ]
 [ -61.38532    -12.914634 ]
 [ -28.737743   126.297    ]
 [   1.0666057 -123.55281  ]
 [  45.14072     -7.9478693]
 [-140.79597    -98.53055  ]
 [  61.53168    -83.24056  ]
 [ -72.56306   -140.39688  ]
 [  15.984491    63.578186 ]
 [-160.85162     68.945145 ]
 [  85.96183     51.922935 ]
 [ -99.020836   109.93635  ]
 [-176.76413     -8.681684 ]
 [-117.18988    -37.4202   ]
 [ 108.82992    -22.946203 ]
 [  47.588097   121.934814 ]
 [-106.467834    30.17689  ]
 [ -50.613804    59.328842 ]]"
bar triceps extensions,"[[ -10.878068    10.538728 ]
 [ -60.884026   -75.59182  ]
 [  -2.3361192  -53.289074 ]
 [ -61.38532    -12.914634 ]
 [ -28.737743   126.297    ]
 [   1.0666057 -123.55281  ]
 [  45.14072     -7.9478693]
 [-140.79597    -98.53055  ]
 [  61.53168    -83.24056  ]
 [ -72.56306   -140.39688  ]
 [  15.984491    63.578186 ]
 [-160.85162     68.945145 ]
 [  85.96183     51.922935 ]
 [ -99.020836   109.93635  ]
 [-176.76413     -8.681684 ]
 [-117.18988    -37.4202   ]
 [ 108.82992    -22.946203 ]
 [  47.588097   121.934814 ]
 [-106.467834    30.17689  ]
 [ -50.613804    59.328842 ]]"
barbell bench press,"[[ 498.88873   -199.18741  ]
 [ 262.70215    328.446    ]
 [ 536.05664   -132.23003  ]
 [-231.7461    -322.76852  ]
 [-198.91364    100.549736 ]
 [-165.59293    413.61475  ]
 [ -58.887306  -186.94246  ]
 [ 119.34281    162.88054  ]
 [ -10.742789    12.10828  ]
 [-213.47708    -83.718636 ]
 [ 122.05019   -155.7814   ]
 [ -10.820535  -396.91815  ]
 [-331.3257     267.559    ]
 [ 220.54808     -7.3781195]
 [ -62.703518   223.89326  ]
 [ 364.90515    131.72974  ]
 [-415.0688      58.28247  ]
 [ 215.66566   -330.59085  ]
 [-403.8557    -169.33342  ]
 [  58.926373   400.75653  ]]"
barbell calf raise with single leg,"[[ -10.878068    10.538728 ]
 [ -60.884026   -75.59182  ]
 [  -2.3361192  -53.289074 ]
 [ -61.38532    -12.914634 ]
 [ -28.737743   126.297    ]
 [   1.0666057 -123.55281  ]
 [  45.14072     -7.9478693]
 [-140.79597    -98.53055  ]
 [  61.53168    -83.24056  ]
 [ -72.56306   -140.39688  ]
 [  15.984491    63.578186 ]
 [-160.85162     68.945145 ]
 [  85.96183     51.922935 ]
 [ -99.020836   109.93635  ]
 [-176.76413     -8.681684 ]
 [-117.18988    -37.4202   ]
 [ 108.82992    -22.946203 ]
 [  47.588097   121.934814 ]
 [-106.467834    30.17689  ]
 [ -50.613804    59.328842 ]]"
barbell calf raise,"[[ -10.878068    10.538728 ]
 [ -60.884026   -75.59182  ]
 [  -2.3361192  -53.289074 ]
 [ -61.38532    -12.914634 ]
 [ -28.737743   126.297    ]
 [   1.0666057 -123.55281  ]
 [  45.14072     -7.9478693]
 [-140.79597    -98.53055  ]
 [  61.53168    -83.24056  ]
 [ -72.56306   -140.39688  ]
 [  15.984491    63.578186 ]
 [-160.85162     68.945145 ]
 [  85.96183     51.922935 ]
 [ -99.020836   109.93635  ]
 [-176.76413     -8.681684 ]
 [-117.18988    -37.4202   ]
 [ 108.82992    -22.946203 ]
 [  47.588097   121.934814 ]
 [-106.467834    30.17689  ]
 [ -50.613804    59.328842 ]]"
barbell curls,"[[ -10.878068    10.538728 ]
 [ -60.884026   -75.59182  ]
 [  -2.3361192  -53.289074 ]
 [ -61.38532    -12.914634 ]
 [ -28.737743   126.297    ]
 [   1.0666057 -123.55281  ]
 [  45.14072     -7.9478693]
 [-140.79597    -98.53055  ]
 [  61.53168    -83.24056  ]
 [ -72.56306   -140.39688  ]
 [  15.984491    63.578186 ]
 [-160.85162     68.945145 ]
 [  85.96183     51.922935 ]
 [ -99.020836   109.93635  ]
 [-176.76413     -8.681684 ]
 [-117.18988    -37.4202   ]
 [ 108.82992    -22.946203 ]
 [  47.588097   121.934814 ]
 [-106.467834    30.17689  ]
 [ -50.613804    59.328842 ]]"
barbell front raise,"[[ -10.878068    10.538728 ]
 [ -60.884026   -75.59182  ]
 [  -2.3361192  -53.289074 ]
 [ -61.38532    -12.914634 ]
 [ -28.737743   126.297    ]
 [   1.0666057 -123.55281  ]
 [  45.14072     -7.9478693]
 [-140.79597    -98.53055  ]
 [  61.53168    -83.24056  ]
 [ -72.56306   -140.39688  ]
 [  15.984491    63.578186 ]
 [-160.85162     68.945145 ]
 [  85.96183     51.922935 ]
 [ -99.020836   109.93635  ]
 [-176.76413     -8.681684 ]
 [-117.18988    -37.4202   ]
 [ 108.82992    -22.946203 ]
 [  47.588097   121.934814 ]
 [-106.467834    30.17689  ]
 [ -50.613804    59.328842 ]]"
