name,umap
angled leg presses,"[[19.936533  28.113985 ]
 [22.54131   25.760834 ]
 [20.09342   27.866024 ]
 [22.863808  26.648258 ]
 [ 4.266636  15.766541 ]
 [22.377388  26.280746 ]
 [ 3.2597964 14.3827915]
 [23.359344  26.577751 ]
 [ 3.8806682 15.599909 ]
 [22.820562  26.179722 ]
 [ 3.4249718 15.217215 ]
 [23.235678  26.159601 ]
 [ 3.714795  14.212871 ]
 [20.26147   27.530983 ]
 [ 3.3470294 14.099454 ]
 [20.724346  27.65642  ]
 [ 4.223437  15.203635 ]
 [20.971766  27.002325 ]
 [ 3.797658  14.827097 ]
 [21.288042  26.778727 ]]"
arnold press,"[[ 11.501856   -2.3525937]
 [ -6.8977056  14.587347 ]
 [ -6.6488147  13.991932 ]
 [ -6.9981513  14.156326 ]
 [ 10.579353   -1.6742172]
 [ 11.050513   -2.5912752]
 [ -6.242484   13.791729 ]
 [ 10.690026   -2.8096564]
 [ 10.715103   -2.271462 ]
 [-16.374783    5.631499 ]
 [ -6.2296276  15.000471 ]
 [-16.65065     5.415706 ]
 [ 11.264455   -1.8887869]
 [-16.71422     6.407605 ]
 [ -6.1395564  14.608868 ]
 [-17.135397    6.5285277]
 [ 11.020257   -1.5471014]
 [-16.346775    6.0648794]
 [ -6.484583   14.99073  ]
 [-16.86039     5.8848195]]"
back extensions,"[[ 6.81427    6.456781 ]
 [14.33267    9.083927 ]
 [ 7.5092525  6.1590614]
 [14.664505   8.420426 ]
 [ 7.5902944  6.4829373]
 [14.274293   8.501242 ]
 [ 7.104582   6.094276 ]
 [14.820959   8.852535 ]
 [10.266467   7.875493 ]
 [13.459777   8.696988 ]
 [10.568874   8.162096 ]
 [13.508059   9.165261 ]
 [11.9094515  8.581017 ]
 [22.913008   9.440929 ]
 [12.985665   8.899445 ]
 [23.380854   9.732027 ]
 [11.163673   8.212952 ]
 [23.086538   9.329037 ]
 [11.412232   8.534702 ]
 [23.341434   9.089539 ]]"
back presses,"[[  7.3784294   4.0699844]
 [-16.862707   -9.144027 ]
 [  6.749062    2.2824125]
 [-16.570454   -9.076194 ]
 [  7.9174085   5.4155025]
 [-17.072872   -9.604854 ]
 [  7.137969    1.5115291]
 [-16.890474   -9.501117 ]
 [  7.0930686   3.545701 ]
 [-10.524747   -7.227159 ]
 [  7.0361667   2.6686106]
 [-10.984268   -7.0422893]
 [  7.0803905   4.473728 ]
 [  7.7441087   5.0962253]
 [  7.0566516   2.007457 ]
 [  8.0339575   4.8407936]
 [  7.321154    4.9131837]
 [-10.2824135  -7.09778  ]
 [  7.3751535   1.7739875]
 [-10.447382   -6.8214693]]"
bar triceps extensions,"[[-0.5813317  -1.0272713 ]
 [ 3.0273423  -1.2570642 ]
 [-4.958807   -0.12965842]
 [ 3.5002012  -1.3462741 ]
 [-0.97964555 -0.49044454]
 [ 2.9067435  -1.7597486 ]
 [-4.9471216  -0.624668  ]
 [ 3.3152895  -1.7678343 ]
 [-0.4612317  -0.49772844]
 [ 1.915714   -1.0539205 ]
 [-4.4820437  -1.0650897 ]
 [ 1.5167061  -0.8888708 ]
 [-3.3204696  -1.2958738 ]
 [-2.5704162  -0.9971372 ]
 [-4.1975374  -0.7420161 ]
 [-3.695782   -0.94149554]
 [-1.2529668  -0.95144624]
 [ 0.4908655  -0.52608424]
 [-4.4344487  -0.44206825]
 [ 0.6423052  -0.9332926 ]]"
barbell bench press,"[[ 23.527594    4.048252 ]
 [ -9.954028   -5.161615 ]
 [ 24.06391     4.245521 ]
 [-11.0588665  -4.9469123]
 [ 23.578423    4.562051 ]
 [-10.190272   -5.725472 ]
 [ 23.917248    4.2348895]
 [-11.527578   -4.846873 ]
 [ 20.166788    6.1947427]
 [-10.457596   -5.2604218]
 [ 20.607174    6.0398245]
 [-11.433403   -5.3568873]
 [ 20.153107    7.2324686]
 [ -9.210978   -5.4814086]
 [ 19.624266    6.7129803]
 [ -9.445133   -5.1404486]
 [ 19.979486    6.845045 ]
 [ -9.619605   -5.693602 ]
 [ 20.323906    6.659151 ]
 [-11.810084   -5.2669134]]"
barbell calf raise with single leg,"[[-0.13112018  0.2971064 ]
 [17.270132    6.9985476 ]
 [ 0.61463374 -0.37376195]
 [16.753143    6.9271407 ]
 [ 0.28880408 -0.3396978 ]
 [ 3.8056345  21.477922  ]
 [16.958435    7.347756  ]
 [ 4.072713   21.290314  ]
 [ 0.0526883   0.5309254 ]
 [ 4.616677   21.348722  ]
 [ 0.8070011   0.26671705]
 [ 4.2934546  21.697731  ]
 [17.245117    6.284532  ]
 [ 5.770552   21.20677   ]
 [ 0.42261395  0.19144653]
 [ 5.556942   21.202124  ]
 [16.999401    6.435464  ]
 [ 5.0956573  21.71653   ]
 [16.585182    7.31626   ]
 [ 5.4960566  21.7657    ]]"
barbell calf raise,"[[  1.4403038    8.581719  ]
 [ -1.2771558    8.604397  ]
 [  0.24143521   8.46851   ]
 [ -1.5766362    8.298439  ]
 [  0.72531366   8.916365  ]
 [-16.713291     0.03107974]
 [ -2.3641665    8.413854  ]
 [-16.828861     0.44694403]
 [  1.2078546    8.19975   ]
 [-17.153343    -0.31556797]
 [  0.59722465   8.318554  ]
 [-16.588682    -0.27265003]
 [  0.199976     8.958162  ]
 [-17.493874    -1.2554523 ]
 [ -1.8533905    8.815449  ]
 [-17.226835    -1.5176319 ]
 [ -0.36034638   8.822336  ]
 [-17.472324    -0.74976295]
 [ -2.1013336    8.235945  ]
 [-16.947378    -0.76104593]]"
barbell curls,"[[ 6.11485    -1.7981724 ]
 [ 1.0932723   8.222682  ]
 [ 7.58681     1.5656323 ]
 [ 1.4740849   8.621191  ]
 [ 5.2695074  -1.522601  ]
 [ 1.0317087   8.703644  ]
 [ 7.487085   -0.9731681 ]
 [ 0.6374589   8.332491  ]
 [ 6.525166   -2.1698947 ]
 [ 0.16168033  8.839084  ]
 [ 7.2896914   1.9925445 ]
 [ 0.57613087  8.99544   ]
 [ 7.551063   -1.4176695 ]
 [ 7.372603   -2.1023617 ]
 [ 7.760016    1.9536086 ]
 [ 7.8429084  -1.8369827 ]
 [ 6.9528275  -1.7691662 ]
 [ 4.772765   -1.5318943 ]
 [ 7.312243    1.4247193 ]
 [ 5.091994   -1.9176084 ]]"
barbell front raise,"[[11.383545    0.13837399]
 [11.527515    3.8155255 ]
 [10.673606    3.1237488 ]
 [11.249422    3.6552982 ]
 [11.384008    1.1887041 ]
 [12.384504    4.649468  ]
 [11.066839    4.1252275 ]
 [13.135294    5.1396737 ]
 [11.953871    0.46354192]
 [13.823611    5.549956  ]
 [11.29815     2.8982785 ]
 [14.231221    5.828646  ]
 [11.790405    0.09204731]
 [15.798805    6.4683475 ]
 [11.024911    2.3565314 ]
 [15.50648     6.821436  ]
 [11.547123    0.6410448 ]
 [15.154486    6.5164623 ]
 [10.94009     3.0076234 ]
 [14.877603    6.1849017 ]]"
